#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing),,,,,,,,
,xclip,does enable reading and copying to clipboard. ,,,,,,,,
,xsel,does enable reading of selection.,,,,,,,,
,chromium,is the browser that replaces Firefox.,,,,,,,,
,python-pywal,does really cool things.,,,,,,,,
,ncftp,uploads to FTP server.,,,,,,,,
,wget,does downloads from given link.,,,,,,,,
A,spotify,plays music.,,,,,,,,
A,cava,is visualiser of sound.,,,,,,,,
R,i3lock,"is being removed, because it would cause problems.",,,,,,,,
A,betterlockscreen-git,is replacement of i3lock-color (it's better and faster).,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
